#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	6.08335411812657E-6
18.0	0.0
19.0	3.6500124708759425E-5
20.0	1.3383379059878455E-4
21.0	2.737509353156956E-4
22.0	4.562515588594927E-4
23.0	8.577529306558464E-4
24.0	0.0015086718212953894
25.0	0.0022508410237068307
26.0	0.0027557594155113363
27.0	0.0037169293661753343
28.0	0.00461118242153994
29.0	0.0059677703898821655
30.0	0.007020190652318062
31.0	0.007920527061800794
32.0	0.009715116526648134
33.0	0.011607039657385496
34.0	0.012476959296277595
35.0	0.015098884921190148
36.0	0.016656223575430548
37.0	0.01736797600725136
38.0	0.018894897890901128
39.0	0.01963098373919444
40.0	0.020938904874591654
41.0	0.022484076820595805
42.0	0.022557077070013323
43.0	0.023451330125377926
44.0	0.023755497831284254
45.0	0.024698417719593878
46.0	0.025902921834982932
47.0	0.027101342596253866
48.0	0.026906675264473823
49.0	0.027727928070420904
50.0	0.027429843718632708
51.0	0.02975976834587518
52.0	0.02598808879263671
53.0	0.030063936051781513
54.0	0.0321444431601808
55.0	0.03292919584141912
56.0	0.03309952975672667
57.0	0.03153610774836814
58.0	0.03362269821088555
59.0	0.032752778571993456
60.0	0.03247294428255963
61.0	0.031280606875406826
62.0	0.030605354568294774
63.0	0.029492100764677613
64.0	0.02696142545153696
65.0	0.023408746646551043
66.0	0.02171149084759373
67.0	0.019776984238029482
68.0	0.016668390283666804
69.0	0.013790963785792936
70.0	0.011004787599690964
71.0	0.008741779867747884
72.0	0.006271938095788494
73.0	0.004580765650949307
74.0	0.00356484551322217
75.0	0.0022569243778249575
76.0	0.001447838280114124
77.0	9.125031177189855E-4
78.0	5.596685788676445E-4
79.0	3.102510600244551E-4
80.0	2.1291739413442995E-4
81.0	2.433341647250628E-5
82.0	5.475018706313913E-5
83.0	3.6500124708759425E-5
84.0	6.08335411812657E-6
85.0	1.216670823625314E-5
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	6.08335411812657E-6
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.216670823625314E-5
