#Coverage (X)	Coverage
1.0	80.20705206167807
2.0	76.70617720960752
3.0	75.31064106875331
4.0	74.06460878730717
5.0	72.80147802638342
6.0	71.4952991259071
7.0	70.07890318516549
8.0	68.56873304062898
9.0	67.00830268346056
10.0	65.30630519802403
11.0	63.550993583843024
12.0	61.71959287329854
13.0	59.81614044701395
14.0	57.895969124045415
15.0	55.956542601180814
16.0	54.03412828897707
17.0	52.09608206718029
18.0	50.193112746269435
19.0	48.3560528013469
20.0	46.55110211001448
21.0	44.78607662706871
22.0	43.06316758045473
23.0	41.37454176161269
24.0	39.7310517876883
25.0	38.14803625429769
26.0	36.61660947331679
27.0	35.11998353300825
28.0	33.68034677303726
29.0	32.31189904063899
30.0	31.00154472943251
31.0	29.728734607270695
32.0	28.49593596231226
33.0	27.313621828909262
34.0	26.198631880089096
35.0	25.12698338479842
36.0	24.098538312930458
37.0	23.10492858926156
38.0	22.15868044598217
39.0	21.256895250849865
40.0	20.38594253081996
41.0	19.557244277228634
42.0	18.774095958875307
43.0	18.022297728524805
44.0	17.305334846373356
45.0	16.619739305988077
46.0	15.973723898722483
47.0	15.346773899956133
48.0	14.749258821460998
49.0	14.19372214919089
50.0	13.669363027290117
51.0	13.162378445080506
