#Position (bp)	mapping quality
112944.0	39.763595540933224
338831.0	39.89792085874527
564718.0	41.77699683180979
790605.0	41.07116944956981
1016492.0	41.98366923874237
1242379.0	27.356105899693496
1468266.0	41.62619176396976
1694153.0	41.95887468536184
1920040.0	41.85185069889822
2145927.0	34.220832617748435
2371814.0	41.36186800510255
2597701.0	16.38137398705392
2823588.0	41.05262807535526
3049475.0	40.12691279463361
3275362.0	40.966801855667136
3501249.0	41.78369928694499
3727136.0	41.8779894690779
3953023.0	41.9576482329668
4178910.0	41.88956505914468
4404797.0	41.9549502805273
4630684.0	41.79657289446051
4856571.0	41.91865387156287
5082458.0	41.839944165952375
5308345.0	41.94610064013643
5534232.0	0.0
5760119.0	42.0
5986006.0	42.0
6211893.0	0.0
6437780.0	42.0
6663667.0	42.0
6889554.0	42.0
7115441.0	41.73907459729204
7341328.0	41.99911629551078
7567215.0	41.99541459686664
7793102.0	41.95563160624903
8018989.0	0.0
8244876.0	0.0
8470763.0	41.99869666408068
8696650.0	41.78085900163414
8922537.0	41.88034011120581
9148424.0	41.608525499186904
9374311.0	0.0
9600198.0	41.285714285714285
9826085.0	41.9297480094918
1.0051972E7	42.0
1.0277859E7	41.95234331917823
1.0503746E7	41.704735534660585
1.0729633E7	41.74423457061278
1.095552E7	41.88029406585667
1.1181407E7	40.13654163902007
1.1407294E7	41.95348074343335
1.1633181E7	41.97849570646502
1.1859068E7	41.94732096999248
1.2084955E7	21.616764896398955
1.2310842E7	41.9617450344548
1.2536729E7	41.93740992382129
1.2762616E7	41.68742656903894
1.2988503E7	41.43919214208441
1.321439E7	41.90951200417537
1.3440277E7	41.917056796577945
1.3666164E7	0.0
1.3892051E7	0.0
1.4117938E7	41.950886044982646
1.4343825E7	41.99501726066613
1.4569712E7	41.77439415897709
1.4795599E7	8.552814264627552
1.5021486E7	9.387733086642312
1.5247373E7	10.814616077685454
1.547326E7	6.3567413943031665
1.5699147E7	41.97072698148831
1.5925034E7	41.86814899158041
1.6150921E7	41.78407788463861
1.6376808E7	3.2953176303301457
1.6602695E7	9.51158940397351
1.6828582E7	0.0
1.7054469E7	41.59154206977426
1.7280356E7	41.93042299462997
1.7506243E7	42.0
1.773213E7	0.0
1.7958017E7	41.9260049108322
1.8183904E7	12.278046162104133
1.8409791E7	1.1960624080608615
1.8635678E7	4.39357588883679
1.8861565E7	27.659034439752624
1.9087452E7	41.879430533625964
1.9313339E7	41.99493756328046
1.9539226E7	41.878148320585304
1.9765113E7	41.97362699141017
1.9991E7	41.95001774218077
2.0216887E7	41.90444058461222
2.0442774E7	27.910674149405917
2.0668661E7	32.246767244049224
2.0894548E7	41.95438896342173
2.1120435E7	41.96019448268775
2.1346322E7	5.617225292935244
2.1572209E7	11.345552332887118
2.1798096E7	5.6281008928974305
2.2023983E7	28.485606726700798
2.224987E7	41.88933017472538
2.2475757E7	3.2625936741905077
2.2701644E7	0.0
2.2927531E7	41.943189015793884
2.3153418E7	41.94306540520904
2.3379305E7	41.93249268674646
2.3605192E7	41.889979548498296
2.3831079E7	41.88859770114942
2.4056966E7	41.937359770890716
2.4282853E7	41.79170443327002
2.450874E7	41.95217398236579
2.4734627E7	41.91706110398787
2.4960514E7	41.84074930635056
2.5186401E7	41.867194096785695
2.5412288E7	41.99942684025219
2.5638175E7	42.0
2.5864062E7	42.0
2.6089949E7	31.888570748224254
