#Coverage (X)	Coverage
1.0	81.21370563043784
2.0	77.32964194817762
3.0	75.84179817341308
4.0	74.63808937345891
5.0	73.46435036043974
6.0	72.19759630921297
7.0	70.80918597262138
8.0	69.34511788375
9.0	67.77611240619775
10.0	66.0648151423168
11.0	64.25658623594832
12.0	62.38274126756843
13.0	60.441019994178575
14.0	58.43418301791441
15.0	56.42634532337607
16.0	54.42007772130238
17.0	52.41529394287659
18.0	50.47886957483449
19.0	48.55462636371589
20.0	46.70172746404014
21.0	44.90483428019111
22.0	43.15002302514719
23.0	41.43565459139034
24.0	39.79573614647893
25.0	38.220001701221065
26.0	36.71430028139162
27.0	35.26010134515515
28.0	33.85954435916676
29.0	32.521618534130624
30.0	31.229328913149217
31.0	29.977844442485193
32.0	28.787490055362156
33.0	27.64297891745403
34.0	26.539514482550146
35.0	25.473559729164222
36.0	24.45274082069595
37.0	23.49111957427374
38.0	22.569509805054906
39.0	21.68078570877684
40.0	20.830675534870977
41.0	20.025287115562435
42.0	19.260997160548172
43.0	18.526452693545394
44.0	17.819031142525233
45.0	17.142856156927806
46.0	16.49939430663767
47.0	15.880605337934782
48.0	15.29192418627369
49.0	14.71925452699928
50.0	14.179263495505467
51.0	13.66656791762776
