#Coverage (X)	Coverage
1.0	81.21370563043784
2.0	77.32964194817762
3.0	75.84179817341308
4.0	74.63808937345891
5.0	73.46435036043974
6.0	72.19759630921297
7.0	70.80918597262138
8.0	69.34511788375
9.0	67.77611240619775
10.0	66.0648151423168
11.0	64.25660348971167
12.0	62.382896551438556
13.0	60.44146859202562
14.0	58.43495943726506
15.0	56.427656609390496
16.0	54.42216542666745
17.0	52.4178302460887
18.0	50.48171644578686
19.0	48.55785281746191
20.0	46.705402515633196
21.0	44.90804348017378
22.0	43.15242129825251
23.0	41.438104625785705
24.0	39.798117165820905
25.0	38.22250349690648
26.0	36.71692285342047
27.0	35.26263764836726
28.0	33.86208066237887
29.0	32.52406856852599
30.0	31.23174444001789
31.0	29.980087431720378
32.0	28.789318954276993
33.0	27.64446274110192
34.0	26.540843022327905
35.0	25.47469847754516
36.0	24.45368977768007
37.0	23.491775217280946
38.0	22.569785865268457
39.0	21.68080296254017
40.0	20.830675534870963
41.0	20.02528711556242
42.0	19.260997160548158
43.0	18.52645269354538
44.0	17.81903114252522
45.0	17.14285615692779
46.0	16.499394306637654
47.0	15.880605337934767
48.0	15.291924186273675
49.0	14.719254526999265
50.0	14.179263495505452
51.0	13.666567917627745
