#Coverage (X)	Coverage
1.0	80.37686360054639
2.0	66.4072333297158
3.0	58.35980204412236
4.0	53.826375724507095
5.0	50.8241863944759
6.0	48.46050708465404
7.0	46.41914532793107
8.0	44.60070219366073
9.0	42.93360907147665
10.0	41.377871737938804
11.0	39.90376195879905
12.0	38.5105205684701
13.0	37.21265798192738
14.0	35.97782339289391
15.0	34.83395064422966
16.0	33.74180467808189
17.0	32.70761410301914
18.0	31.701046803076096
19.0	30.736423401831374
20.0	29.84323058084624
21.0	28.99381055747429
22.0	28.172410645779053
23.0	27.39873464350363
24.0	26.67309311838828
25.0	25.957130954511
26.0	25.267221973288784
27.0	24.60331441343159
28.0	23.970636165233785
29.0	23.353158482545325
30.0	22.768066113660552
31.0	22.216308015563584
32.0	21.68711783992545
33.0	21.176406444832736
34.0	20.69162745605165
35.0	20.210696056497113
36.0	19.739720078394214
37.0	19.279510448620286
38.0	18.836054223057005
39.0	18.418530403805363
40.0	18.010254601708098
41.0	17.619129040378482
42.0	17.235698657501942
43.0	16.862154681023654
44.0	16.49737561632601
45.0	16.144001289201213
46.0	15.8032394630836
47.0	15.469085828328176
48.0	15.141609399988312
49.0	14.82086193935406
50.0	14.514383341008383
51.0	14.214840755528499
