#Position (bp)	mapping quality
112944.0	40.38645923622087
338831.0	41.151066210690345
564718.0	41.72539202650404
790605.0	41.39065481564773
1016492.0	41.95386403719737
1242379.0	36.21372534992965
1468266.0	41.63043612804034
1694153.0	41.934711563952355
1920040.0	41.79309732050502
2145927.0	36.523978727080014
2371814.0	41.45526561399315
2597701.0	15.400374863331077
2823588.0	41.761516689648104
3049475.0	39.91930592748064
3275362.0	41.20821679184352
3501249.0	41.91470097139325
3727136.0	41.917113191251374
3953023.0	41.8960796395425
4178910.0	41.92707564266058
4404797.0	41.91791338582677
4630684.0	41.85205969860429
4856571.0	41.894271586484045
5082458.0	41.728837636834626
5308345.0	41.72350439797285
5534232.0	0.0
5760119.0	42.0
5986006.0	42.0
6211893.0	0.0
6437780.0	42.0
6663667.0	42.0
6889554.0	41.643281807372176
7115441.0	41.638631139865495
7341328.0	42.0
7567215.0	41.96649560777353
7793102.0	41.78743078525612
8018989.0	0.0
8244876.0	0.0
8470763.0	41.48517298187809
8696650.0	41.52755250898025
8922537.0	41.74133995235105
9148424.0	41.11476751800917
9374311.0	42.0
9600198.0	40.65059318790662
9826085.0	41.892653614560615
1.0051972E7	41.99503844555279
1.0277859E7	41.4294677707657
1.0503746E7	41.84057376406579
1.0729633E7	41.64698918290406
1.095552E7	41.87979064725692
1.1181407E7	40.263660192506016
1.1407294E7	41.76159541074846
1.1633181E7	41.6596892292214
1.1859068E7	41.87592071989723
1.2084955E7	25.001326414283067
1.2310842E7	41.983578970726924
1.2536729E7	41.98826548341397
1.2762616E7	41.8593012098064
1.2988503E7	41.68205840504099
1.321439E7	41.99007247096198
1.3440277E7	40.42260529589479
1.3666164E7	0.0
1.3892051E7	0.0
1.4117938E7	41.87551697495796
1.4343825E7	41.96485790263809
1.4569712E7	41.99626808735117
1.4795599E7	12.5040077994523
1.5021486E7	9.413283002501757
1.5247373E7	11.72726536291913
1.547326E7	4.05343791359853
1.5699147E7	41.915785375814046
1.5925034E7	41.855690243238485
1.6150921E7	41.79797488949362
1.6376808E7	2.750276362587715
1.6602695E7	8.084510357815443
1.6828582E7	0.0
1.7054469E7	41.10336239103363
1.7280356E7	41.84891535619353
1.7506243E7	41.97567221510884
1.773213E7	0.0
1.7958017E7	41.86376770030471
1.8183904E7	9.857947434292866
1.8409791E7	1.0473305041163765
1.8635678E7	2.5069445010473808
1.8861565E7	28.099224700449994
1.9087452E7	41.899660121018904
1.9313339E7	41.96206293706294
1.9539226E7	41.77867175279758
1.9765113E7	41.91975571322094
1.9991E7	41.93092804802469
2.0216887E7	41.883835820804265
2.0442774E7	27.14799804403374
2.0668661E7	33.92970466260167
2.0894548E7	41.93376055015463
2.1120435E7	41.91460198048798
2.1346322E7	8.920271185273595
2.1572209E7	6.488963192016033
2.1798096E7	6.725251761725283
2.2023983E7	22.85982291618245
2.224987E7	41.899045619701255
2.2475757E7	2.1669415277103163
2.2701644E7	0.0
2.2927531E7	41.960484520570844
2.3153418E7	41.9213479433692
2.3379305E7	41.93326029004512
2.3605192E7	41.71239246117407
2.3831079E7	41.684084714915656
2.4056966E7	41.99954794962867
2.4282853E7	41.903926206029354
2.450874E7	41.94000709975151
2.4734627E7	41.91081952704379
2.4960514E7	41.75202005457056
2.5186401E7	41.760050027142796
2.5412288E7	41.90083589729627
2.5638175E7	42.0
2.5864062E7	42.0
2.6089949E7	38.99312167230571
2.6315836E7	0.0
2.6541723E7	0.0
2.676761E7	0.0
2.6993497E7	41.97250859106529
2.7219384E7	41.822615599408195
2.7445271E7	41.935972669711674
2.7671158E7	41.92576716747451
2.7897045E7	41.983713060315964
2.8122932E7	41.986679003814366
2.8348819E7	2.978041466283244
2.8574706E7	8.019550286786897
2.8800593E7	14.08408880816075
2.902648E7	13.132744474283566
2.9252367E7	20.256372071710864
2.9478254E7	2.5781178916674126
2.9704141E7	30.800949929541872
2.9930028E7	41.89369107675384
3.0155915E7	9.210929058870141
3.0381802E7	14.272583274288968
3.0607689E7	41.34848549547459
3.0833576E7	41.84636145008541
3.1059463E7	41.8727648229507
3.128535E7	41.46017099794543
3.1511237E7	37.48657222248992
3.1737124E7	35.666128965667745
3.1963011E7	36.49742608017522
3.2188898E7	6.3948682153633625
3.2414785E7	40.98842150686114
3.2640672E7	0.9972635027165229
3.2866559E7	2.2471590585748547
3.3092446E7	1.4373233512786003
3.3318333E7	1.0
3.354422E7	38.37129549215567
3.3770107E7	5.711735510292642
3.3995994E7	35.690964014947184
3.4221881E7	38.185509020430764
3.4447768E7	36.68765800965296
3.4673655E7	40.600834905532984
3.4899542E7	40.32882297329237
3.5125429E7	31.726952327954
3.5351316E7	0.0
3.5577203E7	0.0
3.580309E7	0.0
3.6028977E7	0.0
3.6254864E7	0.0
3.6480751E7	0.0
3.6706638E7	0.0
3.6932525E7	0.0
3.7158412E7	0.0
3.7384299E7	0.0
3.7610186E7	0.0
3.7836073E7	0.0
3.806196E7	0.0
3.8287847E7	0.0
3.8513734E7	0.0
3.8739621E7	0.0
3.8965508E7	0.0
3.9191395E7	0.0
3.9417282E7	0.0
3.9643169E7	0.0
3.9869056E7	0.0
4.0094943E7	0.0
4.032083E7	0.0
4.0546717E7	0.0
4.0772604E7	0.0
4.0998491E7	0.0
4.1224378E7	0.0
4.1450265E7	0.0
4.1676152E7	0.0
4.1902039E7	0.0
4.2127926E7	0.0
4.2353813E7	0.0
4.25797E7	0.0
4.2805587E7	0.0
4.3031474E7	0.0
4.3257361E7	0.0
4.3483248E7	0.0
4.3709135E7	0.0
4.3935022E7	0.0
4.4160909E7	0.0
4.4386796E7	0.0
4.4612683E7	0.0
4.483857E7	0.0
4.5064457E7	0.0
4.5290344E7	0.0
4.5516231E7	0.0
4.5742118E7	0.0
4.5968005E7	0.0
4.6193892E7	0.0
4.6419779E7	41.80022421524664
4.6645666E7	39.96393733399442
4.6871553E7	41.93850550666739
4.709744E7	41.92619514433506
4.7323327E7	41.9831654592486
4.7549214E7	41.965442157757955
4.7775101E7	41.94420149517919
4.8000988E7	41.075585072738775
4.8226875E7	41.902443333864085
4.8452762E7	41.93060284313973
4.8678649E7	41.928295620007084
4.8904536E7	0.0
4.9130423E7	36.4635761589404
4.935631E7	41.88679211243212
4.9582197E7	41.95547293915779
4.9808084E7	40.3186909564738
5.0033971E7	41.68879133574007
5.0259858E7	41.89065994723416
5.0485745E7	41.94081556574955
5.0711632E7	41.88412497272159
5.0937519E7	41.828819462956055
5.1163406E7	41.90587023156376
5.1389293E7	41.329152690681056
5.161518E7	40.53073071275393
5.1841067E7	41.31443638760712
5.2066954E7	42.0
5.2292841E7	42.0
5.2518728E7	41.91530652625118
5.2744615E7	41.928603850158865
5.2970502E7	42.0
5.3196389E7	41.98299748585322
5.3422276E7	41.92274651038556
5.3648163E7	41.98033024611981
5.387405E7	41.89618167681197
5.4099937E7	41.82559234704242
5.4325824E7	38.11370996761425
5.4551711E7	0.0
5.4777598E7	42.0
5.5003485E7	39.95950727296554
5.5229372E7	42.0
5.5455259E7	41.76699297450153
5.5681146E7	39.220334706573354
5.5907033E7	30.085781165183516
5.613292E7	41.93636686811234
5.6358807E7	41.96330418039697
5.6584694E7	39.72672447499069
5.6810581E7	40.82579081486023
5.7036468E7	41.83295295640443
5.7262355E7	41.84647898449528
5.7488242E7	41.91347812358926
5.7714129E7	41.89215821779531
5.7940016E7	41.93773744918255
5.8165903E7	41.41785995250248
5.839179E7	41.90472873223842
5.8617677E7	41.918970580929695
5.8843564E7	41.81613139404006
5.9069451E7	41.96875732250254
5.9295338E7	0.0
5.9521225E7	0.0
5.9747112E7	41.89133066393519
5.9972999E7	41.985419683427374
6.0198886E7	40.86510962821735
6.0424773E7	41.74496767509868
6.065066E7	42.0
6.0876547E7	0.0
6.1102434E7	41.744651664108176
6.1328321E7	0.0
6.1554208E7	0.0
6.1780095E7	41.91136837963266
6.2005982E7	41.910602253965976
6.2231869E7	34.656716417910445
6.2457756E7	0.0
6.2683643E7	0.0
6.290953E7	0.0
6.3135417E7	41.420350189788174
6.3361304E7	42.0
6.3587191E7	0.0
6.3813078E7	0.0
6.4038965E7	0.0
6.4264852E7	41.93681800839374
6.4490739E7	0.0
6.4716626E7	39.318461794573
6.4942513E7	41.947292447796755
6.51684E7	42.0
6.5394287E7	41.880696561790465
6.5620174E7	42.0
6.5846061E7	0.0
6.6071948E7	0.0
6.6297835E7	42.0
6.6523722E7	41.864134251590194
6.6749609E7	41.9668384772427
6.6975496E7	41.694902679878204
6.7201383E7	41.921659595519756
6.742727E7	41.93100264524031
6.7653157E7	41.937220906722025
6.7879044E7	41.894784713462656
6.8104931E7	41.73207883191836
6.8330818E7	41.927404525923016
6.8556705E7	41.89570946375358
6.8782592E7	41.704307879975886
6.9008479E7	41.95849053397233
6.9234366E7	41.95215239144175
6.9460253E7	41.81810302526478
6.968614E7	41.90862969697287
6.9912027E7	18.15169087218957
7.0137914E7	14.382822696984269
7.0363801E7	31.39426952602554
7.0589688E7	41.89132005161239
7.0815575E7	41.95390094297074
7.1041462E7	41.96297388607754
7.1267349E7	41.92996090308255
7.1493236E7	41.91111009147251
7.1719123E7	41.70359706653177
7.194501E7	41.89120724180145
7.2170897E7	32.26422833832988
7.2396784E7	42.0
7.2622671E7	41.325125909345275
7.2848558E7	41.951918078219144
7.3074445E7	41.945800093852654
7.3300332E7	42.0
7.3526219E7	41.98547717842324
7.3752106E7	42.0
7.3977993E7	41.804503136909375
7.420388E7	39.023896843873246
7.4429767E7	18.917182296228635
7.4655654E7	40.9085375312487
7.4881541E7	41.35689069326155
7.5107428E7	41.97346932730378
7.5333315E7	37.119746719356186
7.5559202E7	36.811448395251325
7.5785089E7	41.86368194007228
7.6010976E7	0.0
7.6236863E7	41.013257757709674
7.646275E7	41.93049508028167
7.6688637E7	41.70079060471533
7.6914524E7	42.0
7.7140411E7	41.89458755204277
7.7366298E7	41.902953097857555
7.7592185E7	0.0
