#Coverage (X)	Coverage
1.0	80.38221226718419
2.0	66.4125819963536
3.0	58.36485739678325
4.0	53.83105149437433
5.0	50.82868962670966
6.0	48.464130374957065
7.0	46.4219749451201
8.0	44.60228953988872
9.0	42.934868596201035
10.0	41.37840660460258
11.0	39.90326159966197
12.0	38.509243789982364
13.0	37.21108788946273
14.0	35.97578744881886
15.0	34.83189744639125
16.0	33.739596196373355
17.0	32.70552639765404
18.0	31.69902811276438
19.0	30.73440471151966
20.0	29.84088406903092
21.0	28.99148129942232
22.0	28.169908850093606
23.0	27.396008548894656
24.0	26.670901890443076
25.0	25.955164025489324
26.0	25.265720895877507
27.0	24.602244680104008
28.0	23.970308343730153
29.0	23.35310672125526
30.0	22.768066113660538
31.0	22.21630801556357
32.0	21.687117839925435
33.0	21.176406444832722
34.0	20.691627456051634
35.0	20.2106960564971
36.0	19.7397200783942
37.0	19.27951044862027
38.0	18.83605422305699
39.0	18.41853040380535
40.0	18.010254601708084
41.0	17.619129040378468
42.0	17.235698657501928
43.0	16.86215468102364
44.0	16.497375616325996
45.0	16.1440012892012
46.0	15.803239463083585
47.0	15.469085828328161
48.0	15.141609399988297
49.0	14.820861939354046
50.0	14.514383341008369
51.0	14.214840755528485
