#Coverage (X)	Coverage
1.0	80.20705206167807
2.0	76.70617720960752
3.0	75.31064106875331
4.0	74.06460878730717
5.0	72.80147802638342
6.0	71.4952991259071
7.0	70.07890318516549
8.0	68.56868127933895
9.0	67.00807838453704
10.0	65.30592561523038
11.0	63.55078653868285
12.0	61.71974815716867
13.0	59.8161231932506
14.0	57.89536524232824
15.0	55.95561089796003
16.0	54.03366243736667
17.0	52.09647890373728
18.0	50.193802896803334
19.0	48.35691548951427
20.0	46.55191303689181
21.0	44.78731889802973
22.0	43.06456513528589
23.0	41.37569776375698
24.0	39.73203525219912
25.0	38.14874365859495
26.0	36.61724786256066
27.0	35.1207944598856
28.0	33.681226714968005
29.0	32.312692713752995
30.0	31.002441925126604
31.0	29.729804340598264
32.0	28.496988441876468
33.0	27.314501770839996
34.0	26.199287523096316
35.0	25.12675908587491
36.0	24.098175983900163
37.0	23.104669782811342
38.0	22.158507908348696
39.0	21.25689525084988
40.0	20.385942530819975
41.0	19.557244277228648
42.0	18.77409595887532
43.0	18.02229772852482
44.0	17.30533484637337
45.0	16.61973930598809
46.0	15.973723898722497
47.0	15.346773899956148
48.0	14.749258821461012
49.0	14.193722149190904
50.0	13.669363027290132
51.0	13.16237844508052
