#Coverage (X)	Coverage
1.0	80.37686360054639
2.0	66.4072333297158
3.0	58.35950873014545
4.0	53.82570282773653
5.0	50.82337546759855
6.0	48.45914403734957
7.0	46.41717839890943
8.0	44.597751800128265
9.0	42.93041712525732
10.0	41.37412767129235
11.0	39.89924147280195
12.0	38.50530993193908
13.0	37.20744734539636
14.0	35.97261275636289
15.0	34.8290505754389
16.0	33.73695637058117
17.0	32.70302460196862
18.0	31.6966470934224
19.0	30.732213483574498
20.0	29.839382991619672
21.0	28.990359804804726
22.0	28.16909792321627
23.0	27.395577204810976
24.0	26.67045329259605
25.0	25.9546464125889
26.0	25.264875461473466
27.0	24.601209454303145
28.0	23.969135087822508
29.0	23.351812689004177
30.0	22.766565036249276
31.0	22.21441010159532
32.0	21.684702313056746
33.0	21.173473305063595
34.0	20.68843550983229
35.0	20.207193542537482
36.0	19.73587248916762
37.0	19.275645605630345
38.0	18.832189380067064
39.0	18.414596545762024
40.0	18.006286236138067
41.0	17.61514342104509
42.0	17.231678530641858
43.0	16.85813455416357
44.0	16.493320981939235
45.0	16.13992940105109
46.0	15.799167574933477
47.0	15.464944925124655
48.0	15.137451243021445
49.0	14.816652021097156
50.0	14.510104407698094
51.0	14.210510060928158
