#Position (bp)	Coverage
112944.0	9.357068312609954
338831.0	10.832804640413286
564718.0	4.0788062414785635
790605.0	4.601547855255801
1016492.0	2.5214007782101167
1242379.0	3.2750488090589616
1468266.0	4.8732003111259266
1694153.0	14.25289239617468
1920040.0	9.656521668744233
2145927.0	5.575067355624682
2371814.0	9.087822690609906
2597701.0	10.445545770323848
2823588.0	20.88600597387544
3049475.0	5.025460100385539
3275362.0	25.06138112437186
3501249.0	19.366831926392425
3727136.0	18.068870233427194
3953023.0	17.033125614955722
4178910.0	16.977305099230843
4404797.0	5.854436925622765
4630684.0	6.544818414970079
4856571.0	17.07299256574324
5082458.0	6.528955856159437
5308345.0	13.527974783293931
5534232.0	0.0
5760119.0	0.760998810939358
5986006.0	0.17123287671232876
6211893.0	0.0
6437780.0	1.4351145038167938
6663667.0	1.0202429149797572
6889554.0	0.8661174047373842
7115441.0	25.51846488052136
7341328.0	40.14221218961625
7567215.0	42.18719479110146
7793102.0	20.696293494704992
8018989.0	0.0
8244876.0	0.0
8470763.0	8.686940966010733
8696650.0	11.337542237239907
8922537.0	24.824795842613213
9148424.0	15.612802845076684
9374311.0	1.0484693877551021
9600198.0	0.8888762898287788
9826085.0	22.479009762900976
1.0051972E7	50.95433487756453
1.0277859E7	5.6932502596054
1.0503746E7	53.281258702311334
1.0729633E7	8.667012764917853
1.095552E7	15.418062969200468
1.1181407E7	20.5746618336133
1.1407294E7	10.166022979627305
1.1633181E7	1.8264509213414324
1.1859068E7	38.41882087550299
1.2084955E7	71.26375711574953
1.2310842E7	34.620358514724714
1.2536729E7	48.87132593076421
1.2762616E7	4.155512118842846
1.2988503E7	9.900385711889989
1.321439E7	33.46511627906977
1.3440277E7	4.47084061655808
1.3666164E7	0.0
1.3892051E7	0.0
1.4117938E7	31.112376274466026
1.4343825E7	21.74443062309171
1.4569712E7	44.773179777474134
1.4795599E7	97.02254550034637
1.5021486E7	64.125711090582
1.5247373E7	28.95477662326275
1.547326E7	65.07875870544859
1.5699147E7	34.99598502278161
1.5925034E7	26.646327804149553
1.6150921E7	15.861375963459892
1.6376808E7	50.59209726443769
1.6602695E7	5.231527093596059
1.6828582E7	0.0
1.7054469E7	6.8927038626609445
1.7280356E7	12.981768388106417
1.7506243E7	3.240663900414938
1.773213E7	0.0
1.7958017E7	158.85535307517085
1.8183904E7	7.8525798525798525
1.8409791E7	41.90760869565217
1.8635678E7	74.69528158295282
1.8861565E7	107.32796087849763
