#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	5.850656151087345E-6
17.0	0.0
18.0	2.9253280755436724E-5
19.0	5.850656151087344E-5
20.0	1.462664037771836E-4
21.0	2.9253280755436726E-4
22.0	4.3879921133155086E-4
23.0	0.0010004622018359357
24.0	0.0013690535393544383
25.0	0.002193996056657754
26.0	0.0025976913310827806
27.0	0.0035923028767676298
28.0	0.004703927545474225
29.0	0.005575675311986239
30.0	0.006494228327706953
31.0	0.007775522024795081
32.0	0.009103620971091908
33.0	0.01066574616343223
34.0	0.01226882594883016
35.0	0.01421124379099116
36.0	0.01586112882559779
37.0	0.016791383153620675
38.0	0.0177976960116077
39.0	0.019184301519415404
40.0	0.020202315689704604
41.0	0.021173524610785102
42.0	0.021916557941973194
43.0	0.021875603348915584
44.0	0.022952124080715654
45.0	0.023192000982910233
46.0	0.024332878932372265
47.0	0.026386459241403922
48.0	0.027351817506333333
49.0	0.02576043903323758
50.0	0.026602933518994155
51.0	0.029891002275905243
52.0	0.025701932471726703
53.0	0.02977983980903458
54.0	0.03185682274267059
55.0	0.03381094189713377
56.0	0.03298599937983045
57.0	0.03267591460382282
58.0	0.03412687732929248
59.0	0.03326683087508264
60.0	0.03268761591612499
61.0	0.03262325869846303
62.0	0.03192117996033256
63.0	0.030803704635474872
64.0	0.028568753985759508
65.0	0.02536259441496364
66.0	0.022349506497153657
67.0	0.02067036818179159
68.0	0.018511476062040358
69.0	0.014831413343006417
70.0	0.011882682642858397
71.0	0.009495614933214762
72.0	0.006927176882887416
73.0	0.00491455116691337
74.0	0.003469439097594796
75.0	0.0028375682332773622
76.0	0.0016440343784555438
77.0	0.0010472674510446347
78.0	7.196307065837433E-4
79.0	3.276367444608913E-4
80.0	1.930716529858824E-4
81.0	9.361049841739752E-5
82.0	7.020787381304814E-5
83.0	1.170131230217469E-5
84.0	5.850656151087345E-6
85.0	2.340262460434938E-5
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	5.850656151087345E-6
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
