#Coverage (X)	Coverage
1.0	80.20705206167807
2.0	76.70617720960752
3.0	75.31064106875331
4.0	74.06460878730717
5.0	72.80156429520017
6.0	71.49540264848719
7.0	70.07900670774558
8.0	68.56878480191904
9.0	67.00830268346056
10.0	65.3061844216806
11.0	63.55125239029324
12.0	61.720041471145585
13.0	59.816192208303995
14.0	57.89565855630516
15.0	55.95630104849395
16.0	54.03399025887029
17.0	52.09508134890612
18.0	50.19193949036179
19.0	48.3549313067293
20.0	46.54998061539688
21.0	44.7853864765348
22.0	43.063288356798175
23.0	41.37461077666609
24.0	39.73105178768831
25.0	38.1480362542977
26.0	36.616626727080146
27.0	35.119931771718214
28.0	33.68034677303726
29.0	32.311881786875645
30.0	31.001527475669164
31.0	29.72901066748426
32.0	28.49602223112899
33.0	27.313656336435955
34.0	26.19880441772257
35.0	25.127017892325114
36.0	24.09862458174719
37.0	23.105049365604984
38.0	22.158594177165426
39.0	21.256895250849865
40.0	20.38594253081996
41.0	19.557244277228634
42.0	18.774095958875307
43.0	18.022297728524805
44.0	17.305334846373356
45.0	16.619739305988077
46.0	15.973723898722483
47.0	15.346773899956133
48.0	14.749258821460998
49.0	14.19372214919089
50.0	13.669363027290117
51.0	13.162378445080506
