#Coverage (X)	Coverage
1.0	80.20705206167807
2.0	76.70617720960752
3.0	75.31064106875331
4.0	74.06460878730717
5.0	72.80147802638342
6.0	71.4952991259071
7.0	70.07890318516549
8.0	68.56868127933895
9.0	67.00807838453704
10.0	65.30592561523038
11.0	63.55070026986611
12.0	61.71942033566506
13.0	59.81546755024339
14.0	57.894813121901116
15.0	55.95511053882295
16.0	54.0324029126423
17.0	52.09404612310526
18.0	50.191025040904364
19.0	48.35394784221848
20.0	46.548997150886066
21.0	44.78436850449729
22.0	43.0615629804634
23.0	41.372799131514576
24.0	39.72913661995671
25.0	38.14587953387924
26.0	36.61443549913499
27.0	35.11801660398663
28.0	33.678690411755895
29.0	32.31032894817436
30.0	31.00021618965475
31.0	29.727785650286577
32.0	28.49514228919827
33.0	27.312914424612018
34.0	26.198148774715378
35.0	25.126500279424704
36.0	24.09815873013683
37.0	23.104669782811357
38.0	22.15850790834871
39.0	21.256895250849894
40.0	20.38594253081999
41.0	19.557244277228662
42.0	18.774095958875336
43.0	18.022297728524833
44.0	17.305334846373384
45.0	16.619739305988105
46.0	15.973723898722511
47.0	15.346773899956162
48.0	14.749258821461027
49.0	14.193722149190918
50.0	13.669363027290146
51.0	13.162378445080535
