#Coverage (X)	Coverage
1.0	81.21370563043784
2.0	77.32964194817762
3.0	75.84179817341308
4.0	74.63808937345891
5.0	73.46435036043974
6.0	72.19759630921297
7.0	70.80918597262138
8.0	69.34523866009344
9.0	67.77635395888463
10.0	66.06507394876702
11.0	64.25731089400892
12.0	62.38413882239959
13.0	60.44245205653644
14.0	58.436115439409356
15.0	56.42824323734432
16.0	54.421578798713625
17.0	52.416795020287836
18.0	50.48030163719235
19.0	48.5560066647837
20.0	46.70295248123782
21.0	44.90588675975532
22.0	43.150868459551226
23.0	41.43629298063421
24.0	39.79642629701284
25.0	38.220709105518324
26.0	36.71505944697893
27.0	35.260567196765535
28.0	33.85994119572375
29.0	32.522136147031034
30.0	31.22938067443924
31.0	29.977654651088343
32.0	28.787058711278448
33.0	27.64266834971376
34.0	26.539410959970056
35.0	25.473559729164222
36.0	24.45274082069595
37.0	23.49111957427374
38.0	22.569509805054906
39.0	21.68078570877684
40.0	20.830675534870977
41.0	20.025287115562435
42.0	19.260997160548172
43.0	18.526452693545394
44.0	17.819031142525233
45.0	17.142856156927806
46.0	16.49939430663767
47.0	15.880605337934782
48.0	15.29192418627369
49.0	14.71925452699928
50.0	14.179263495505467
51.0	13.66656791762776
